[GIN] 2019/10/29 - 16:59:02 | 200 |      69.044µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:59:02 | 200 |   15.479157ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:59:02 | 200 |    4.555712ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:59:02 | 200 |  114.352415ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:59:02 | 200 |     285.813µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:59:06 | 403 |      113.16µs |       127.0.0.1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:59:51 | 200 |     196.706µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:59:51 | 200 |     335.314µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:59:51 | 200 |     265.352µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:59:51 | 200 |      61.291µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:59:51 | 200 |    6.843423ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:59:51 | 200 |    8.876815ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:59:51 | 200 |  118.623268ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:59:51 | 200 |     129.607µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:59:55 | 200 |     130.845µs |       127.0.0.1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 17:18:03 | 200 |     335.161µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 17:18:03 | 200 |     349.418µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 17:18:03 | 200 |      36.015µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 17:18:03 | 200 |     385.909µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 17:18:03 | 200 |    8.348389ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 17:18:03 | 200 |   19.764037ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 17:18:04 | 200 |    4.514901ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 17:18:04 | 200 |  124.858167ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 17:18:04 | 200 |      221.57µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 17:28:50 | 200 |     430.317µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 17:28:50 | 200 |     415.489µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 17:28:50 | 200 |     417.573µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 17:28:50 | 200 |     112.884µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 17:28:50 | 200 |    9.733813ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 17:28:50 | 200 |    26.61099ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 17:28:51 | 200 |  116.396244ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 17:28:51 | 200 |     333.345µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 17:28:51 | 200 |    4.967419ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 17:29:06 | 200 |  254.983196ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/10/29 - 17:29:24 | 200 |  271.037923ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:30:38 | 404 |        2.11µs |       127.0.0.1 | GET      /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:32:32 | 200 |     321.067µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 17:32:32 | 200 |     335.815µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 17:32:32 | 200 |     400.217µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 17:32:32 | 200 |      55.947µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 17:32:32 | 200 |    4.844007ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 17:32:32 | 200 |   23.718946ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 17:32:33 | 200 |  119.197687ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 17:32:33 | 200 |     255.568µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 17:32:33 | 200 |    5.240272ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 17:34:21 | 200 |     362.114µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 17:34:21 | 200 |      282.58µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 17:34:21 | 200 |     166.597µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 17:34:21 | 200 |     343.233µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 17:34:21 | 200 |     6.22792ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 17:34:22 | 200 |   23.533023ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 17:34:22 | 200 |  106.715317ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 17:34:22 | 200 |    3.440327ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 17:34:22 | 200 |      304.99µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 17:34:36 | 200 |  287.689608ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:34:50 | 200 |  255.084098ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:36:14 | 200 |  248.613556ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:36:18 | 200 |  272.109148ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:36:21 | 200 |  259.635099ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:36:28 | 200 |  248.483868ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:36:34 | 200 |  266.962242ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:37:13 | 200 |  261.667954ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/10/29 - 17:37:52 | 200 |  271.654145ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/10/29 - 17:37:55 | 200 |  254.582063ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/10/29 - 17:38:03 | 200 |  251.068088ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/10/29 - 17:45:28 | 200 |     445.123µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 17:45:29 | 200 |     188.962µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 17:45:29 | 200 |       61.47µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 17:45:29 | 200 |     259.169µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 17:45:29 | 200 |    3.760204ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 17:45:29 | 200 |   21.390764ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 17:45:29 | 200 |   119.80153ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 17:45:29 | 200 |    4.256623ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 17:45:29 | 200 |     299.681µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 17:45:40 | 200 |  277.516025ms |       127.0.0.1 | POST     /api/v1/user/login?username=jielin&password=123456
[GIN] 2019/10/29 - 17:53:23 | 200 |     395.859µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 17:53:23 | 200 |     229.502µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 17:53:23 | 200 |     319.429µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 17:53:23 | 200 |    5.990237ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 17:53:23 | 200 |      42.508µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 17:53:23 | 200 |   33.641901ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 17:53:23 | 200 |  162.753585ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 17:53:23 | 200 |     346.683µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 17:53:23 | 200 |    6.553037ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 17:53:56 | 200 |  287.261566ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/10/29 - 17:56:28 | 200 |  311.647923ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/10/29 - 20:13:24 | 200 |     614.486µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 20:13:24 | 200 |     225.311µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 20:13:24 | 200 |     300.147µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 20:13:24 | 200 |    3.488384ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 20:13:24 | 200 |     208.241µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 20:15:37 | 200 |     335.289µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 20:15:37 | 200 |     302.907µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 20:15:37 | 200 |     316.041µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 20:15:37 | 200 |    2.270133ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 20:15:37 | 200 |     208.646µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 20:15:37 | 200 |    5.405524ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 20:21:13 | 200 |     353.907µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 20:21:13 | 200 |     262.196µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 20:21:13 | 200 |     268.134µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 20:21:13 | 200 |    3.245024ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 20:21:13 | 200 |     364.357µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 20:21:13 | 200 |    4.464393ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 20:26:33 | 200 |     364.857µs |       127.0.0.1 | GET      /swagger/index.html
